,k,R,test_accuracy,train_accuracy
0,1,2,0.8502673796791443,0.993103448275862
1,1,3,0.8342245989304813,0.993103448275862
2,1,4,0.8609625668449198,0.993103448275862
3,1,5,0.8502673796791443,0.993103448275862
4,1,6,0.839572192513369,0.993103448275862
5,1,7,0.8502673796791443,0.993103448275862
6,1,8,0.8449197860962567,0.993103448275862
7,1,9,0.8663101604278075,0.993103448275862
8,1,10,0.8716577540106952,0.993103448275862
9,2,2,0.8181818181818182,0.993103448275862
10,2,3,0.8235294117647058,0.993103448275862
11,2,4,0.8609625668449198,0.993103448275862
12,2,5,0.8556149732620321,0.993103448275862
13,2,6,0.839572192513369,0.993103448275862
14,2,7,0.8502673796791443,0.993103448275862
15,2,8,0.8449197860962567,0.993103448275862
16,2,9,0.8663101604278075,0.993103448275862
17,2,10,0.8716577540106952,0.993103448275862
18,3,3,0.8181818181818182,0.993103448275862
19,3,4,0.8449197860962567,0.993103448275862
20,3,5,0.8502673796791443,0.993103448275862
21,3,6,0.8449197860962567,0.993103448275862
22,3,7,0.8502673796791443,0.993103448275862
23,3,8,0.8449197860962567,0.993103448275862
24,3,9,0.8663101604278075,0.993103448275862
25,3,10,0.8716577540106952,0.993103448275862
26,4,3,0.786096256684492,0.993103448275862
27,4,4,0.8449197860962567,0.993103448275862
28,4,5,0.839572192513369,0.993103448275862
29,4,6,0.839572192513369,0.993103448275862
30,4,7,0.8556149732620321,0.993103448275862
31,4,8,0.8502673796791443,0.993103448275862
32,4,9,0.8663101604278075,0.993103448275862
33,4,10,0.8716577540106952,0.993103448275862
34,5,3,0.7914438502673797,0.993103448275862
35,5,4,0.8021390374331551,0.993103448275862
36,5,5,0.8342245989304813,0.993103448275862
37,5,6,0.839572192513369,0.993103448275862
38,5,7,0.8663101604278075,0.993103448275862
39,5,8,0.8502673796791443,0.993103448275862
40,5,9,0.8663101604278075,0.993103448275862
41,5,10,0.8716577540106952,0.993103448275862
42,6,3,0.8181818181818182,0.993103448275862
43,6,4,0.7700534759358288,0.993103448275862
44,6,5,0.8235294117647058,0.993103448275862
45,6,6,0.8449197860962567,0.993103448275862
46,6,7,0.8663101604278075,0.993103448275862
47,6,8,0.8556149732620321,0.993103448275862
48,6,9,0.8663101604278075,0.993103448275862
49,6,10,0.8716577540106952,0.993103448275862
50,7,4,0.8235294117647058,0.993103448275862
51,7,5,0.8021390374331551,0.993103448275862
52,7,6,0.8181818181818182,0.993103448275862
53,7,7,0.8556149732620321,0.993103448275862
54,7,8,0.8556149732620321,0.993103448275862
55,7,9,0.8663101604278075,0.993103448275862
56,7,10,0.8663101604278075,0.993103448275862
57,8,4,0.8235294117647058,0.993103448275862
58,8,5,0.8021390374331551,0.993103448275862
59,8,6,0.8342245989304813,0.993103448275862
60,8,7,0.8342245989304813,0.993103448275862
61,8,8,0.8502673796791443,0.993103448275862
62,8,9,0.8663101604278075,0.993103448275862
63,8,10,0.8663101604278075,0.993103448275862
64,9,4,0.8128342245989305,0.993103448275862
65,9,5,0.8342245989304813,0.993103448275862
66,9,6,0.8288770053475936,0.993103448275862
67,9,7,0.8609625668449198,0.993103448275862
68,9,8,0.8556149732620321,0.993103448275862
69,9,9,0.8609625668449198,0.993103448275862
70,9,10,0.8609625668449198,0.993103448275862
71,10,4,0.8128342245989305,0.993103448275862
72,10,5,0.8288770053475936,0.993103448275862
73,10,6,0.8235294117647058,0.993103448275862
74,10,7,0.8449197860962567,0.993103448275862
75,10,8,0.8449197860962567,0.993103448275862
76,10,9,0.8716577540106952,0.993103448275862
77,10,10,0.8556149732620321,0.993103448275862
